Hour,Day,Glucose_25,Acetic_25,Propionic_25,Isobutyric_25,Butyric_25,Isovaleric_25,Valeric_25,Caproic_25,Ethanol_25,Lactic_25,Glucose_400,Acetic_400,Propionic_400,Isobutyric_400,Butyric_400,Isovaleric_400,Valeric_400,Caproic_400,Ethanol_400,Lactic_400
0,0,0.231,,0.366,,0.169,,,,,,0.23,,,,0.144,,,,,
13,0.541666667,,,,,,,,,,0.363,0.16,,,,,,,,,
23,0.958333333,,0.104,,,,,,,0.127,0.638,,0.649,,,1.011,,,,,
37,1.541666667,,0.134,,,0.736,,,,0.142,0.994,,0.75,,,1.106,,,,,
60,2.5,,0.484,,,1.196,,,,,,,0.98,,,1.152,,,,,
85,3.541666667,,0.914,,,1.254,,,0.14,,,,0.99,,,1.136,,,,,
109,4.541666667,,,,,,,,,,,,,,,,,,,,
133,5.541666667,,1.07,,,1.504,,,0.215,,,,1.185,,,1.373,,,0.142,,
157,6.541666667,,1.195,,,1.538,,,0.27,,,,1.202,,,1.344,0.05,,0.154,,
181,7.541666667,,1.187,,,1.518,,,0.258,,,,1.216,,,1.349,0.056,,0.144,,
205,8.541666667,,1.19,,,1.523,,,0.256,,,,1.224,,,1.305,0.061,,0.177,,
229,9.541666667,,1.206,,,1.556,,,0.243,,,,1.226,,,1.321,0.068,,0.165,,
253,10.54166667,,1.241,,,1.547,,,0.235,,,,1.218,,,1.347,0.061,,0.187,,
277,11.54166667,,1.252,,,1.522,,,0.287,,,,1.253,,,1.326,0.058,,0.199,,
